Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
204,2025-03-03,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,826,826.3,803.6,803.6,6447,5257833.2,810.2,918,480,2025-03-03T14:57:03.979745,803.6,84,815.54,5797.57
205,2025-03-03,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1379,1394,1361.2,1365,6765,9270547.6,1379,1815,779.1,2025-03-03T14:59:58.048246,1365,109,1370.36,8447.99
206,2025-03-03,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,815,820,810,810,7871,6406067.8,813,1214.8,650.2,2025-03-03T14:59:38.533931,810,121,813.88,8960.92
207,2025-03-03,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,840,840,800,815,22967,18632309.6,828,980,522.3,2025-03-03T14:59:58.990867,815,198,811.26,11564.85
208,2025-03-03,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,303.9,306,298,299,723046,217791410.6,298,360,158.1,2025-03-03T14:59:59.78013,299,1835,301.21,73433.84
209,2025-03-03,2743,NGPL,Ngadi Group Power Ltd.,306,306,295,296,321772,96740437.6,300,571,250,2025-03-03T14:59:53.495389,296,985,300.64,10959.57
210,2025-03-03,2744,GRDBL,Green Development Bank Ltd.,1435,1459,1400,1434.8,34112,48432882.3,1435,2001.4,341,2025-03-03T14:59:57.723218,1434.8,295,1419.81,7729.58
211,2025-03-03,2754,DHPL,Dibyashwori Hydropower Ltd.,388,418.2,385,417,209106,84739334,381,418.2,185.3,2025-03-03T14:59:58.231792,417,1112,405.24,1100.88
212,2025-03-03,2757,AKPL,Arun Kabeli Power Ltd.,260.5,261.5,250.6,250.6,271583,69208905.3,256.4,326,157.2,2025-03-03T14:59:54.169859,250.6,1066,254.83,9763.23
213,2025-03-03,2767,HPPL,Himalayan Power Partner Ltd.,615.5,615.5,591.5,595,116812,70094292.1,603.9,656,244,2025-03-03T14:59:44.377604,595,479,600.06,6339.23
214,2025-03-03,2768,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1485,1500,1433.4,1433.4,7077,10338453.4,1475,1851,790,2025-03-03T14:59:57.29862,1433.4,316,1460.85,5302.49
215,2025-03-03,2769,NHDL,Nepal Hydro Developers Ltd.,983,1002.6,965.1,974,58821,57537183.3,964,1002.6,408,2025-03-03T14:59:51.719375,974,223,978.17,3781.04
216,2025-03-03,2776,RADHI,Radhi Bidyut Company Ltd,426.4,429.5,413.2,415,212781,89336523.3,418.1,477,223.2,2025-03-03T14:59:53.357366,415,578,419.85,7631.76
217,2025-03-03,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,3500,3500,3262.2,3262.2,3427,11438018,3440,4271,765,2025-03-03T14:59:47.491871,3262.2,109,3337.61,2584.03
218,2025-03-03,2787,KPCL,Kalika power Company Ltd,590.1,590.1,570.5,575,25628,14818686,589.8,652.4,380.2,2025-03-03T14:59:57.195278,575,207,578.22,5370.21
219,2025-03-03,2789,JOSHI,Joshi Hydropower Development Company Ltd,417,435,417,419,73223,31006757.9,424.9,521.6,265,2025-03-03T14:59:59.57054,419,391,423.45,1556.17
220,2025-03-03,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1245,1245,1211.1,1224,7462,9138206.2,1237.9,1491,600,2025-03-03T14:59:58.97913,1224,119,1224.63,4493.84
221,2025-03-03,2792,UPPER,Upper Tamakoshi Hydropower Ltd,221,228,217,217.3,453870,100247653.6,221.5,295,152.1,2025-03-03T14:59:59.532675,217.3,1918,220.87,46024.14
222,2025-03-03,2806,GHL,Ghalemdi Hydro Limited,281,289,273.2,285,960141,271720964.4,278,289,141,2025-03-03T14:59:59.722585,285,2332,283,4702.5
223,2025-03-03,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,913,934,909.9,909.9,19816,18169494.8,918.1,1177,625,2025-03-03T14:57:55.880012,909.9,203,916.91,6669.99
224,2025-03-03,2811,MHNL,Mountain Hydro Nepal Limited,285,290,280,280,22090,6274029.5,285,379,215.7,2025-03-03T14:59:59.358969,280,126,284.02,3500
225,2025-03-03,2813,PPCL,Panchthar Power Compant Limited,337,337,325,327,76268,25014289.6,330.9,367.2,220,2025-03-03T14:59:51.865729,327,231,327.97,3147.38
226,2025-03-03,2831,UNHPL,Union Hydropower Limited,350.3,364.4,346.2,351,120716,42771840,357.4,371,212.6,2025-03-03T14:59:59.7499,351,475,354.31,2632.5
227,2025-03-03,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1053,1053,1012,1012.1,8386,8565391,1034.7,1492,658,2025-03-03T14:59:43.565649,1012.1,126,1021.39,5034.35
228,2025-03-03,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,365.9,370.9,360,363.5,55804,20301091.4,373.3,442,256,2025-03-03T14:59:59.44517,363.5,319,363.79,13267.75
229,2025-03-03,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,9.9,10,9.81,9.81,267915,2661207.65,9.89,10.39,7.45,2025-03-03T14:59:18.718781,9.81,19,9.93,1177.2
230,2025-03-03,2860,SAPDBL,Saptakoshi Development Bank Ltd,1250,1275,1244.19,1264,62274,78460356.3,1229,1622.7,245,2025-03-03T14:59:59.978797,1264,587,1259.92,10546.04
231,2025-03-03,2862,CMF2,CITIZENS MUTUAL FUND 2,9.5,9.6,9.49,9.6,1900,18080,9.67,10.68,7.58,2025-03-03T14:55:13.390989,9.6,8,9.51,537.6
232,2025-03-03,2867,NMB50,NMB 50,10.39,10.8,10.39,10.6,25967,273004.9,10.39,12.54,8.95,2025-03-03T13:25:32.029173,10.6,11,10.51,1325
233,2025-03-03,2877,SFMF,Sunrise First Mutual Fund,10.5,10.71,10.15,10.3,91814,974889.04,10.6,11.99,9.22,2025-03-03T14:57:33.746456,10.3,35,10.61,885.8
234,2025-03-03,2881,NRIC,Nepal Reinsurance Company Limited,1301,1340,1301,1332,552102,734202929.3,1323,1348.1,630.1,2025-03-03T14:59:58.278374,1332,2763,1329.83,178783.53
235,2025-03-03,2890,SBIBD86,10% Nepal SBI Bank Debenture 2086,1078,1078,1078,1078,25,26950,1075,1154.9,1000,2025-03-03T11:45:39.289699,1078,1,1078,2192.53
236,2025-03-03,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,1033,1033,980,995,10972,10960496.5,1013,1470.8,575,2025-03-03T14:59:58.207428,995,161,998.95,6973.54
237,2025-03-03,2898,NRN,NRN Infrastructure and Development Limited,1595,1651.3,1565,1606,147509,236896969.6,1590,1651.3,478.3,2025-03-03T14:59:59.936488,1606,975,1605.98,20627.02
238,2025-03-03,2903,LEC,Liberty Energy Company Limited,240,240,227.4,228,361772,83831993.9,237.9,344,175.1,2025-03-03T14:59:55.959873,228,1353,231.72,5130
239,2025-03-03,2909,SGICP,Sanima GIC Insurance Limited Promoter Share,100,100,100,100,72857,18214250,100,100,100,2025-03-03T12:34:14.791336,100,1,250,
240,2025-03-03,2913,MEN,Mountain Energy Nepal Limited,629.9,632,619,619,75344,47020334.1,623,809.5,498.1,2025-03-03T14:59:36.174533,619,462,624.07,16110.81
241,2025-03-03,2914,UMRH,United IDI Mardi RB Hydropower Limited.,733,733,700.2,707,61194,43418806.8,720,790,325,2025-03-03T14:59:58.23405,707,450,709.52,3132.72
242,2025-03-03,2919,NIFRA,Nepal Infrastructure Bank Limited,305.4,308,293.6,294.9,526070,156999247.1,299.5,366.6,188.1,2025-03-03T14:59:59.130802,294.9,2264,298.43,63698.4
